#,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious_Critical,TotCasesper1Mpop,Deathsper1Mpop,TotalTests,Testsper1Mpop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
29,Sweden,657309,,12826.0,,0,N/A,0,234.0,64817.0,1265.0,6139911.0,605456.0,"10,140,977 ",Europe,15,791,2
30,Pakistan,581365,1392.0,12896.0,36.0,546371,"+1,094",22098,1568.0,2599.0,58.0,8990176.0,40186.0,"223,713,940 ",Asia,385,"17,348",25
31,Philippines,576352,,12318.0,,534271,,29763,785.0,5214.0,111.0,8785105.0,79472.0,"110,543,706 ",Asia,192,"8,974",13
32,Switzerland,554932,,9966.0,,507856,,37110,180.0,63811.0,1146.0,5025401.0,577863.0,"8,696,523 ",Europe,16,873,2
33,Bangladesh,546216,,8408.0,,496924,,40884,,3295.0,51.0,4044027.0,24395.0,"165,774,179 ",Asia,303,"19,716",41
34,Morocco,483654,,8623.0,,469046,,5985,284.0,13002.0,232.0,5655947.0,152043.0,"37,199,532 ",Africa,77,"4,314",7
35,Austria,459440,,8561.0,,430415,,20464,279.0,50821.0,947.0,5368211.0,593799.0,"9,040,445 ",Europe,20,"1,056",2
36,Serbia,459259,,4443.0,,400347,,54469,162.0,52704.0,510.0,2940507.0,337448.0,"8,713,949 ",Europe,19,"1,961",3
37,Japan,431740,,7860.0,,409319,,14561,434.0,3421.0,62.0,8234982.0,65244.0,"126,218,898 ",Asia,292,"16,058",15
38,Hungary,428599,,14974.0,,321128,,92497,524.0,44442.0,1553.0,3660342.0,379545.0,"9,644,037 ",Europe,23,644,3
39,UAE,391524,,1221.0,,381225,,9078,,39273.0,122.0,30665851.0,3076021.0,"9,969,323 ",Asia,25,"8,165",0
40,Jordan,391090,,4701.0,,348599,,37790,302.0,38080.0,458.0,4600197.0,447921.0,"10,270,104 ",Asia,26,"2,185",2
41,Saudi Arabia,377383,,6494.0,,368305,,2584,481.0,10730.0,185.0,13633077.0,387620.0,"35,171,284 ",Asia,93,"5,416",3
42,Lebanon,375050,,4692.0,,291590,,78768,912.0,55113.0,689.0,3025365.0,444573.0,"6,805,100 ",Asia,18,"1,450",2
43,Panama,340915,,5845.0,,326213,,8857,195.0,78200.0,1341.0,1908448.0,437764.0,"4,359,539 ",North America,13,746,2
44,Slovakia,308083,,7189.0,,255300,,45594,677.0,56411.0,1316.0,2046571.0,374734.0,"5,461,398 ",Europe,18,760,3
45,Malaysia,300752,,1130.0,,273417,,26205,202.0,9214.0,35.0,6234519.0,191010.0,"32,639,768 ",Asia,109,"28,885",5
46,Belarus,287306,,1976.0,,277995,,7335,,30412.0,209.0,4898038.0,518461.0,"9,447,258 ",Europe,33,"4,781",2
47,Ecuador,286155,,15811.0,,247898,,22446,532.0,16058.0,887.0,1009661.0,56660.0,"17,819,701 ",South America,62,"1,127",18
48,Nepal,274143,,2774.0,,270407,,962,,9299.0,94.0,2162936.0,73365.0,"29,481,826 ",Asia,108,"10,628",14
49,Georgia,270918,160.0,3520.0,10.0,265523,409,1875,,68000.0,884.0,2730044.0,685239.0,"3,984,076 ",Asia,15,"1,132",1
50,Bolivia,249010,463.0,11649.0,21.0,193032,479,44329,71.0,21142.0,989.0,720678.0,61188.0,"11,778,096 ",South America,47,"1,011",16
51,Bulgaria,247038,,10191.0,,205545,,31302,394.0,35732.0,1474.0,1665229.0,240863.0,"6,913,582 ",Europe,28,678,4
52,Croatia,242973,,5526.0,,234234,,3213,67.0,59430.0,1352.0,1344652.0,328894.0,"4,088,403 ",Europe,17,740,3
53,Dominican Republic,239617,,3100.0,,191338,,45179,207.0,21943.0,284.0,1207621.0,110590.0,"10,919,830 ",North America,46,"3,523",9
54,Azerbaijan,234537,,3220.0,,228768,,2549,,22995.0,316.0,2598679.0,254782.0,"10,199,628 ",Asia,43,"3,168",4
55,Tunisia,233277,,8001.0,,198006,,27270,266.0,19603.0,672.0,979785.0,82332.0,"11,900,361 ",Africa,51,"1,487",12
56,Ireland,219592,,4319.0,,23364,,191909,133.0,44146.0,868.0,3523320.0,708315.0,"4,974,231 ",Europe,23,"1,152",1
57,Kazakhstan,213431,622.0,2540.0,,196889,346,14002,221.0,11278.0,134.0,7419449.0,392044.0,"18,925,047 ",Asia,89,"7,451",3
58,Denmark,211195,,2361.0,,202181,,6653,41.0,36377.0,407.0,17016520.0,2930987.0,"5,805,730 ",Europe,27,"2,459",0
59,Costa Rica,204341,,2800.0,,177099,,24442,147.0,39872.0,546.0,669685.0,130673.0,"5,124,886 ",North America,25,"1,830",8
60,Lithuania,197343,,3234.0,,183324,,10785,153.0,73174.0,1199.0,2115119.0,784276.0,"2,696,905 ",Europe,14,834,1
61,Greece,191100,,6504.0,,165718,,18878,391.0,18394.0,626.0,5235862.0,503974.0,"10,389,159 ",Europe,54,"1,597",2
62,Kuwait,190852,,1083.0,,179209,,10560,156.0,44258.0,251.0,1784499.0,413823.0,"4,312,223 ",Asia,23,"3,982",2
63,Slovenia,190081,,3836.0,,175210,,11035,95.0,91423.0,1845.0,912361.0,438819.0,"2,079,128 ",Europe,11,542,2
64,Moldova,185453,,3949.0,,166178,,15326,311.0,46044.0,980.0,717590.0,178162.0,"4,027,728 ",Europe,22,"1,020",6
65,Palestine,183612,,2042.0,,166936,,14634,117.0,35451.0,394.0,1164857.0,224908.0,"5,179,262 ",Asia,28,"2,536",4
66,Egypt,182424,,10688.0,,140892,,30844,90.0,1761.0,103.0,1000000.0,9652.0,"103,604,518 ",Africa,568,"9,694",104
67,Guatemala,174542,,6393.0,,161511,,6638,5.0,9625.0,353.0,917819.0,50614.0,"18,133,693 ",North America,104,"2,836",20
68,Armenia,172216,158.0,3195.0,3.0,163511,117,5510,,58045.0,1077.0,733639.0,247273.0,"2,966,919 ",Asia,17,929,4
69,Honduras,170304,550.0,4151.0,10.0,66513,66,99640,406.0,17016.0,415.0,447919.0,44754.0,"10,008,435 ",North America,59,"2,411",22
