#,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious_Critical,TotCasesper1Mpop,Deathsper1Mpop,TotalTests,Testsper1Mpop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
153,Cambodia,9975,,74.0,,3400,,6501,,590.0,4.0,871829.0,51566.0,"16,907,049 ",Asia,"1,695","228,474",19,,,385
154,Trinidad and Tobago,9676,,159.0,,8173,,1344,8.0,6896.0,113.0,125168.0,89203.0,"1,403,186 ",North America,145,"8,825",11,,,958
155,Benin,7720,,97.0,,7510,,113,35.0,624.0,8.0,581843.0,46998.0,"12,380,056 ",Africa,"1,604","127,629",21,,,9
156,Equatorial Guinea,7559,,107.0,,7097,,355,5.0,5249.0,74.0,120652.0,83776.0,"1,440,168 ",Africa,191,"13,460",12,,,246
157,Nicaragua,6835,,181.0,,4225,,2429,,1022.0,27.0,,,"6,688,668 ",North America,979,"36,954",,,,363
158,Iceland,6390,,29.0,,6227,,134,4.0,18627.0,85.0,585811.0,1707665.0,"343,048 ",Europe,54,"11,829",1,,,391
159,CAR,6224,,85.0,,5112,,1027,2.0,1271.0,17.0,40907.0,8352.0,"4,897,933 ",Africa,787,"57,623",120,,,210
160,Yemen,6137,,1187.0,,2546,,2404,23.0,202.0,39.0,22934.0,755.0,"30,358,220 ",Asia,"4,947","25,576","1,324",,,79
161,Gambia,5857,,173.0,,5284,,400,3.0,2370.0,70.0,62356.0,25230.0,"2,471,544 ",Africa,422,"14,286",40,,,162
162,Seychelles,5284,,26.0,,4675,,583,,53459.0,263.0,21504.0,217557.0,"98,843 ",Africa,19,"3,802",5,,,"5,898"
163,Niger,5191,,191.0,,4834,,166,18.0,208.0,8.0,97394.0,3909.0,"24,912,520 ",Africa,"4,799","130,432",256,,,7
164,San Marino,5047,,89.0,,4839,,119,5.0,148489.0,2618.0,59601.0,1753538.0,"33,989 ",Europe,7,382,1,,,"3,501"
165,Chad,4770,,169.0,,4389,,212,,284.0,10.0,111158.0,6614.0,"16,806,738 ",Africa,"3,523","99,448",151,,,13
